
Cut and paste of the bet table at https://bitbet.us/bet/1249/alphago-will-defeat-lee-sedol-overall-in-march/

CONFIRMED BETS: 148.80 BTC
TIME    BET     WEIGHT  BTC IN  IN  BTC OUT     OUT      
22-02-16 00:44  Yes     61`930  2.94000000  13tE6   6.99405373  1CGf3   
22-02-16 02:08  Yes     61`706  1.00000000  13TfW   2.37390610  1MTvt   
22-02-16 02:14  No  61`689  2.28600000  13Ted   0.00000000  1NEYe   
22-02-16 04:53  Yes     61`261  0.30000000  13TG9   0.70917777  1F6aY   
22-02-16 21:31  Yes     58`572  0.22755717  13TLr   0.52420492  1KAEK   
23-02-16 04:55  No  57`377  4.50000000  13Tot   0.00000000  1HtWf   
23-02-16 10:48  No  56`425  0.08930000  13Tqe   0.00000000  1G6CD   
24-02-16 08:39  Yes     52`897  5.00000000  13tvG   10.88171498     1AbPd   
24-02-16 08:50  No  52`867  0.05000000  13tvK   0.00000000  15oaA   
24-02-16 11:46  No  52`391  0.10000000  13tvP   0.00000000  1MhgS   
24-02-16 19:37  Yes     51`124  1.00000000  13U4W   2.13657918  1Nbno   
24-02-16 20:26  Yes     50`991  0.10000000  13U5c   0.21335963  1D3sZ   
25-02-16 02:32  No  50`006  3.00000000  13Uii   0.00000000  1Jeff   
25-02-16 02:53  Yes     49`949  0.09200000  13uJj   0.19414088  1Bksz   
25-02-16 08:17  No  49`078  1.00100000  13UX7   0.00000000  1Mb4z   
25-02-16 10:59  No  48`640  0.60000000  13UZt   0.00000000  1NKCq   
25-02-16 14:25  Yes     48`086  0.05000000  13V2M   0.10342223  1QJuJ   
26-02-16 17:30  No  43`708  0.50000000  13vJL   0.00000000  1GJgu   
26-02-16 18:44  Yes     43`509  0.05000000  13VKN   0.09828972  1Ldua   
26-02-16 18:44  No  43`509  0.05000000  13VKd   0.00000000  1Ldua   
26-02-16 21:52  Yes     43`004  0.72908002  13vma   1.42496398  1CYJH   
27-02-16 16:27  Yes     40`002  0.01200000  13vVR   0.02264569  1NoCX   
28-02-16 06:49  No  37`681  0.49900000  13vYy   0.00000000  1Aygh   
28-02-16 11:01  No  37`000  0.02350000  13vZU   0.00000000  17hxW   
28-02-16 11:35  Yes     36`910  0.11745000  13vzr   0.21350012  17hxW   
28-02-16 13:42  Yes     36`566  2.00000000  13w3M   3.62016174  1LgN6   
28-02-16 22:05  Yes     35`214  0.22795140  13WGg   0.40569855  1JsfK   
28-02-16 22:20  Yes     35`171  0.01000000  13whQ   0.01778794  1FWmd   
29-02-16 03:13  Yes     34`383  0.46296190  13Wi9   0.81533230  16x9E   
29-02-16 10:56  Yes     33`137  0.01830000  13Wpn   0.03171714  13FyN   
01-03-16 12:10  No  29`058  0.30000000  13Xbm   0.00000000  12JHs   
01-03-16 12:10  No  29`058  0.20000000  13Xba   0.00000000  1CdVo   
01-03-16 14:39  No  28`658  0.02536548  13XD1   0.00000000  3QYZw   
02-03-16 04:53  Yes     26`356  0.02315833  13Y3V   0.03661556  1QCJE   
02-03-16 08:57  Yes     25`700  0.00298908  13Y8V   0.00468204  12Xq3   
02-03-16 11:51  Yes     25`231  0.10000000  13yev   0.15558661  1DNdc   
02-03-16 15:53  Yes     24`578  0.11628447  13yJm   0.17922006  1HiKe   
02-03-16 15:53  No  24`578  2.05510566  13Yit   0.00000000  3QYZw   
02-03-16 15:53  No  24`578  0.04000000  13YhH   0.00000000  1MrwX   
02-03-16 18:28  Yes     24`163  0.50000000  13YKa   0.76595682  1RMmG   
02-03-16 19:34  No  23`985  0.00230000  13YqV   0.00000000  327Kw   
02-03-16 19:34  Yes     23`985  0.02300000  13YQ5   0.03514219  3Dkek   
03-03-16 00:11  No  23`238  0.20000000  13YSy   0.00000000  1MrwX   
03-03-16 10:52  No  21`512  0.01000000  13Z4a   0.00000000  18puu   
03-03-16 18:50  Yes     20`224  0.02579467  13ZCJ   0.03723646  17F87   
04-03-16 05:57  No  18`428  0.40000000  13ZeV   0.00000000  1Mn3H   
04-03-16 10:24  Yes     17`710  0.06000000  13zmz   0.08323137  1Amsf   
04-03-16 11:18  No  17`563  0.09943758  13ZQ9   0.00000000  15Kam   
04-03-16 19:33  Yes     16`231  0.00561574  13zUi   0.00760382  1DVrF   
05-03-16 00:58  Yes     15`355  0.67590000  13zY8   0.90190268  12ubQ   
05-03-16 02:56  Yes     15`037  0.10000000  13ZyM   0.13272410  12tSB   
05-03-16 16:42  No  12`813  1.27408011  141EQ   0.00000000  1DDii   
05-03-16 23:05  Yes     11`781  1.13729319  141fv   1.42641288  18wPu   
06-03-16 01:51  Yes     11`336  0.35580000  141H7   0.44269958  1Fs7K   
06-03-16 12:58  No  9`538   4.00000000  141mH   0.00000000  17w1w   
06-03-16 16:08  No  9`028   0.69800000  141NA   0.00000000  1AMQY   
06-03-16 18:46  No  8`602   0.36000000  141NS   0.00000000  1JTpU   
06-03-16 20:25  No  8`334   1.00000000  141Nt   0.00000000  1HUb1   
07-03-16 02:16  Yes     7`388   3.85477620  141r1   4.45494074  1Dmuc   
07-03-16 04:55  No  6`960   0.50000000  141Zt   0.00000000  15MUp   
07-03-16 10:50  Yes     6`004   1.00000000  1422d   1.12465420  1Nnyq   
07-03-16 16:19  Yes     5`120   0.20000000  142d7   0.22096567  1MLx5   
07-03-16 16:19  No  5`120   1.00000000  142By   0.00000000  15Vzk   
07-03-16 16:38  Yes     5`068   10.00000000     142bj   11.03662141     1FC58   
07-03-16 19:46  No  4`561   0.08900000  142hb   0.00000000  1NpQn   
07-03-16 20:24  No  4`460   1.11995078  142hZ   0.00000000  1FEVF   
07-03-16 22:16  Yes     4`158   1.00000000  142pD   1.08325319  1Magd   
07-03-16 22:41  Yes     4`090   0.24260000  142Pc   0.26242724  1Dv2u   
07-03-16 23:25  Yes     3`972   0.30000000  142rQ   0.32372450  1KUEj   
08-03-16 03:35  Yes     3`299   0.50000000  142XF   0.53199402  18hD9   
